,0
1200,94976
1201,532976
1202,1402885
1203,1181294
1204,1117965
1205,271709
1206,252025
1207,783248
1208,765099
1209,1178289
1210,50812
1211,40728
1212,566830
1213,975206
1214,468223
1215,713471
1216,874997
1217,322039
1218,276270
1219,1443829
1220,1002914
1221,909696
1222,469214
1223,904657
1224,840357
1225,1392490
1226,175593
1227,433033
1228,843798
1229,274766
1230,1236238
1231,477363
1232,675500
1233,1039016
1234,730390
1235,1112633
1236,612614
1237,1005063
1238,1243582
1239,41043
1240,1109269
1241,280154
1242,424628
1243,1280594
1244,40919
1245,1101246
1246,1235977
1247,804571
1248,423020
1249,395682
1250,461818
1251,1147701
1252,153020
1253,275098
1254,929650
1255,565710
1256,1209185
1257,682963
1258,528181
1259,1045105
1260,1199801
1261,468291
1262,400040
1263,743860
1264,1067608
1265,803205
1266,1183602
1267,447689
1268,1047306
1269,398468
1270,40718
1271,412501
1272,970904
1273,47207
1274,1435471
1275,80748
1276,840581
1277,811571
1278,1209186
1279,411703
1280,581194
1281,425041
1282,428831
1283,1388541
1284,1402886
1285,471046
1286,1114396
1287,1002690
1288,1111779
1289,41060
1290,803428
1291,1357502
1292,403411
1293,1445167
1294,41591
1295,1338467
1296,466398
1297,585102
1298,797620
1299,1398900
1300,422941
1301,1431128
1302,1374331
1303,1388691
1304,453156
1305,161128
1306,1111666
1307,426997
1308,252077
1309,70940
1310,805091
1311,855954
1312,40923
1313,347293
1314,40699
1315,843836
1316,723699
1317,1291205
1318,818697
1319,4298812
1320,1338091
1321,451265
1322,94081
1323,1115086
1324,840460
1325,1291204
1326,395689
1327,79438
1328,1195477
1329,727740
1330,252096
1331,1338253
1332,468765
1333,494306
1334,908392
1335,581892
1336,419436
1337,970124
1338,840020
1339,909701
1340,933787
1341,995979
1342,40731
1343,993569
1344,1045111
1345,469208
1346,1267340
1347,586567
1348,1178000
1349,2046399
1350,478759
1351,911117
1352,41350
1353,1048327
1354,1115453
1355,960101
1356,1209180
1357,414693
1358,935794
1359,438255
1360,420319
1361,253752
1362,417714
1363,723825
1364,294983
1365,1366217
1366,977962
1367,41626
1368,1046004
1369,78191
1370,1189670
1371,676392
1372,417851
1373,1309522
1374,401770
1375,1287550
1376,4681772
1377,1144638
1378,4365786
1379,271975
1380,893508
1381,840248
1382,271685
1383,713378
1384,672477
1385,1388570
1386,838285
1387,1235987
1388,1366072
1389,468174
1390,436220
1391,797972
1392,252021
1393,45829
1394,1186152
1395,1101252
1396,1045040
1397,41333
1398,1280593
1399,1209184
1400,905026
1401,1402924
1402,41435
1403,742281
1404,1161775
1405,885602
1406,1009577
1407,252100
1408,477351
1409,253756
1410,643462
1411,1009750
1412,41042
1413,655786
1414,41304
1415,494549
1416,451300
1417,882282
1418,574857
1419,80151
1420,957488
1421,468282
1422,910035
1423,1046009
1424,373067
1425,701704
1426,1445141
1427,41592
1428,41184
1429,431241
1430,41439
1431,309406
1432,40758
1433,394045
1434,455243
1435,475850
1436,271515
1437,460540
1438,254807
1439,909148
1440,471849
1441,1252971
1442,18313
1443,64204
1444,684156
1445,721658
1446,1178290
1447,977694
1448,428720
1449,984359
1450,485332
1451,41279
1452,843686
1453,79928
1454,655450
1455,935802
1456,1101240
1457,4491071
1458,1109267
1459,742315
1460,1204966
1461,4463981
1462,1111938
1463,1161475
1464,1402927
1465,765667
1466,917293
1467,280303
1468,1097463
1469,466440
1470,652311
1471,41630
1472,430473
1473,578904
1474,468287
1475,957871
1476,279043
1477,94737
1478,521997
1479,1338313
1480,728414
1481,470847
1482,271793
1483,1232565
1484,252034
1485,39929
1486,478756
1487,254775
1488,851868
1489,958591
1490,673821
1491,1390671
1492,718233
1493,1009074
1494,927804
1495,394066
1496,880794
1497,276284
1498,849967
1499,447092
1500,7647
1501,684229
1502,1399031
1503,41048
1504,574555
1505,427857
1506,1235998
1507,447696
1508,468186
1509,41261
1510,280193
1511,1236679
1512,1272437
1513,569981
1514,713987
1515,470772
1516,40843
1517,1178293
1518,1405961
1519,4402392
1520,452766
1521,221357
1522,41046
1523,840254
1524,449852
1525,686449
1526,448751
1527,694526
1528,744429
1529,487537
1530,427075
1531,41243
1532,7820
1533,1314719
1534,841307
1535,542446
1536,403492
1537,1049517
1538,411710
1539,1263667
1540,494803
1541,976587
1542,81201
1543,89538
1544,373392
1545,401779
1546,466444
1547,573995
1548,40952
1549,1199538
1550,396939
1551,922174
1552,1049516
1553,471493
1554,700041
1555,453160
1556,4550354
1557,1141606
1558,1006715
1559,842252
1560,1245325
1561,885617
1562,279776
1563,41231
1564,4318308
1565,1235002
1566,395408
1567,579537
1568,4324950
1569,674521
1570,843330
1571,1043774
1572,765650
1573,427880
1574,1395461
1575,252117
1576,1178001
1577,453285
1578,452599
1579,478945
1580,256080
1581,839705
1582,1197714
1583,40961
1584,396483
1585,4418516
1586,855929
1587,104958
1588,271703
1589,433634
1590,893893
1591,466574
1592,4533253
1593,1346362
1594,760847
1595,40926
1596,271977
1597,432617
1598,653730
1599,279224
1600,437403
1601,4432433
1602,1007877
1603,721648
1604,712695
1605,412084
1606,1261545
1607,394409
1608,94925
1609,842545
1610,279813
1611,1047968
1612,680051
1613,41220
1614,540773
1615,682395
1616,1303158
1617,325792
1618,1097416
1619,1043819
1620,41233
1621,331665
1622,1115227
1623,581650
1624,732770
1625,1101336
1626,1398903
1627,222209
1628,468153
1629,840165
1630,41580
1631,4364760
1632,41292
1633,4326521
1634,40720
1635,503453
1636,1112447
1637,678827
1638,40996
1639,259895
1640,935852
1641,573340
1642,40859
1643,423337
1644,468770
1645,41108
1646,40914
1647,1118074
1648,252062
1649,1291668
1650,962269
1651,629901
1652,279040
1653,426290
1654,1398894
1655,7655
1656,432679
1657,744258
1658,1334039
1659,41171
1660,450168
1661,437376
1662,666003
1663,41007
1664,85048
1665,1261582
1666,251967
1667,1301899
1668,1300524
1669,686791
1670,1370459
1671,717957
1672,432557
1673,41353
1674,1008433
1675,348585
1676,41076
1677,266536
1678,1118071
1679,677924
1680,798094
1681,432654
1682,40737
1683,911088
1684,708675
1685,41379
1686,4473129
1687,265731
1688,1398885
1689,1351755
1690,279771
1691,450325
1692,861600
1693,1162626
1694,840255
1695,1045908
1696,281192
1697,615446
1698,660793
1699,81008
1700,278152
1701,277532
1702,569786
1703,803186
1704,436281
1705,416124
1706,468280
1707,934207
1708,674188
1709,717382
1710,4902867
1711,400569
1712,81422
1713,41014
1714,587775
1715,278155
1716,416088
1717,432565
1718,908784
1719,705672
1720,1243961
1721,422994
1722,4365698
1723,947036
1724,630545
1725,1047456
1726,1209523
1727,578290
1728,41473
1729,1398886
1730,1044273
1731,420162
1732,399553
1733,471567
1734,721940
1735,970125
1736,1398888
1737,676214
1738,581283
1739,1048530
1740,1398880
1741,41310
1742,977495
1743,318349
1744,465181
1745,257380
1746,95224
1747,40826
1748,41119
1749,771040
1750,1044310
