,Город,Субъект федерации,Федеральный округ,Код субъекта РФ
529,Солигалич,Костромская область,Центральный,44
530,Чухлома,Костромская область,Центральный,44
531,Шарья,Костромская область,Центральный,44
532,Далматово,Курганская область,Уральский,45
533,Катайск,Курганская область,Уральский,45
534,Курган,Курганская область,Уральский,45
535,Куртамыш,Курганская область,Уральский,45
536,Макушино,Курганская область,Уральский,45
537,Петухово,Курганская область,Уральский,45
538,Шадринск,Курганская область,Уральский,45
539,Шумиха,Курганская область,Уральский,45
540,Щучье,Курганская область,Уральский,45
541,Дмитриев,Курская область,Центральный,46
542,Железногорск,Курская область,Центральный,46
543,Курск,Курская область,Центральный,46
544,Курчатов,Курская область,Центральный,46
545,Льгов,Курская область,Центральный,46
546,Обоянь,Курская область,Центральный,46
547,Рыльск,Курская область,Центральный,46
548,Суджа,Курская область,Центральный,46
549,Фатеж,Курская область,Центральный,46
550,Щигры,Курская область,Центральный,46
551,Бокситогорск,Ленинградская область,Северо-Западный,47
552,Волосово,Ленинградская область,Северо-Западный,47
553,Волхов,Ленинградская область,Северо-Западный,47
554,Всеволожск,Ленинградская область,Северо-Западный,47
555,Выборг,Ленинградская область,Северо-Западный,47
556,Высоцк,Ленинградская область,Северо-Западный,47
557,Гатчина,Ленинградская область,Северо-Западный,47
558,Ивангород,Ленинградская область,Северо-Западный,47
559,Каменногорск,Ленинградская область,Северо-Западный,47
560,Кингисепп,Ленинградская область,Северо-Западный,47
561,Кириши,Ленинградская область,Северо-Западный,47
562,Кировск,Ленинградская область,Северо-Западный,47
563,Коммунар,Ленинградская область,Северо-Западный,47
564,Лодейное Поле,Ленинградская область,Северо-Западный,47
565,Луга,Ленинградская область,Северо-Западный,47
566,Любань,Ленинградская область,Северо-Западный,47
567,Никольское,Ленинградская область,Северо-Западный,47
568,Новая Ладога,Ленинградская область,Северо-Западный,47
569,Отрадное,Ленинградская область,Северо-Западный,47
570,Пикалево,Ленинградская область,Северо-Западный,47
571,Подпорожье,Ленинградская область,Северо-Западный,47
572,Приморск,Ленинградская область,Северо-Западный,47
573,Приозерск,Ленинградская область,Северо-Западный,47
574,Светогорск,Ленинградская область,Северо-Западный,47
575,Сертолово,Ленинградская область,Северо-Западный,47
576,Сланцы,Ленинградская область,Северо-Западный,47
577,Сосновый Бор,Ленинградская область,Северо-Западный,47
578,Сясьстрой,Ленинградская область,Северо-Западный,47
579,Тихвин,Ленинградская область,Северо-Западный,47
580,Тосно,Ленинградская область,Северо-Западный,47
581,Шлиссельбург,Ленинградская область,Северо-Западный,47
582,Грязи,Липецкая область,Центральный,48
583,Данков,Липецкая область,Центральный,48
584,Елец,Липецкая область,Центральный,48
585,Задонск,Липецкая область,Центральный,48
586,Лебедянь,Липецкая область,Центральный,48
587,Липецк,Липецкая область,Центральный,48
588,Усмань,Липецкая область,Центральный,48
589,Чаплыгин,Липецкая область,Центральный,48
590,Магадан,Магаданская область,Дальневосточный,49
591,Сусуман,Магаданская область,Дальневосточный,49
592,Апрелевка,Московская область,Центральный,50
593,Балашиха,Московская область,Центральный,50
594,Бронницы,Московская область,Центральный,50
595,Верея,Московская область,Центральный,50
596,Видное,Московская область,Центральный,50
597,Волоколамск,Московская область,Центральный,50
598,Воскресенск,Московская область,Центральный,50
599,Высоковск,Московская область,Центральный,50
600,Голицыно,Московская область,Центральный,50
601,Городской округ Черноголовка,Московская область,Центральный,50
602,Дедовск,Московская область,Центральный,50
603,Дзержинский,Московская область,Центральный,50
604,Дмитров,Московская область,Центральный,50
605,Долгопрудный,Московская область,Центральный,50
606,Домодедово,Московская область,Центральный,50
607,Дрезна,Московская область,Центральный,50
608,Дубна,Московская область,Центральный,50
609,Егорьевск,Московская область,Центральный,50
610,Железнодорожный,Московская область,Центральный,50
611,Жуковский,Московская область,Центральный,50
612,Зарайск,Московская область,Центральный,50
613,Звенигород,Московская область,Центральный,50
614,Ивантеевка,Московская область,Центральный,50
615,Истра,Московская область,Центральный,50
616,Истра-1,Московская область,Центральный,50
617,Кашира,Московская область,Центральный,50
618,Кашира-8,Московская область,Центральный,50
619,Климовск,Московская область,Центральный,50
620,Клин,Московская область,Центральный,50
621,Коломна,Московская область,Центральный,50
622,Королев,Московская область,Центральный,50
623,Котельники,Московская область,Центральный,50
624,Красноармейск,Московская область,Центральный,50
625,Красногорск,Московская область,Центральный,50
626,Краснозаводск,Московская область,Центральный,50
627,Краснознаменск,Московская область,Центральный,50
628,Кубинка,Московская область,Центральный,50
629,Куровское,Московская область,Центральный,50
630,Ликино-Дулево,Московская область,Центральный,50
631,Лобня,Московская область,Центральный,50
632,Лосино-Петровский,Московская область,Центральный,50
633,Луховицы,Московская область,Центральный,50
